Ranking,Instituto,Country,Size,Visibilidad,Ficheros_ricos,Scholar
73,Carolinas Healthcare System,us,17,152,208,564
74,Henry Ford Hospital,us,54,208,550,233
75,UCLA University of California Los Angeles Health System CA,us,113,164,155,357
76,King Faisal Specialist Hospital & Research Centre,sa,1113,325,188,65
77,Hospital Italiano de Buenos Aires,ar,252,458,143,85
78,Klinikum der Johannes Gutenberg Universität Mainz,de,116,455,151,112
79,Vu Medical Center Amsterdam,nl,550,189,157,210
80,Children's Healthcare of Atlanta Pediatric Hospital,us,861,107,519,203
81,Hospital El Cruce,ar,1536,96,607,173
82,Inova Health System Northern Virginia,us,494,255,66,204
83,Universitätsklinikum Magdeburg,de,1069,494,278,38
84,Banner Health,us,250,122,262,394
85,Guy's and St Thomas' Hospital NHS,uk,2724,416,415,19
86,Peacehealth,us,153,252,459,186
87,Intermountain Healthcare ID,us,257,114,178,481
88,Universitair Medisch Centrum Groningen,nl,665,205,236,200
89,Mercy,us,188,196,394,279
89,L’Institut Curie,fr,107,199,469,299
91,Indiana University Health Bloomington,us,486,157,3,701
92,Hospital for Special Surgery,us,1172,94,650,257
93,Universitätsklinikum Dusseldorf,de,748,421,234,86
94,Centre Hospitalier Universitaire de Lyon hôpitaux de Lyon,fr,1943,435,114,56
94,Rigshospitalet,dk,692,471,90,101
96,Sanford Health (Union Hospital Mayville North Dakota),us,534,118,631,305
97,Uniklinik Köln - Klinikum der Universitat Zu Köln,de,1285,307,223,111
98,Hospital for Sick Children,ca,1283,104,296,331
98,Dana Farber Cancer Institute Boston MA,us,1275,45,1224,365
100,Norrbottens Lans Landsting,se,269,343,40,262
101,Guangdong Provincial TCM Hospital,cn,998,187,1872,97
102,Scott and White Memorial Hospital,us,771,309,187,164
103,Tel Aviv Sourasky Medical Center,il,99,872,295,51
104,Allina Health,us,463,15,849,1739
105,Chang Gung Memorial Hospital,tw,271,413,59,199
106,Johanniter Krankenhaus,de,191,28,331,1815
107,Kantonsspital St.Gallen,ch,319,773,37,100
108,MedStar Health,us,114,229,367,387
109,Santé Montérégie,ca,443,716,53,98
110,NHS Greater Glasgow and Clyde,uk,763,354,26,236
111,Changhua Christian Hospital Changhua City,tw,22,703,131,196
112,Scripps Health System San Diego,us,218,150,501,452
113,Centre for Addiction & Mental Health,ca,272,218,958,235
114,Institute of Cancer Research Royal Cancer Hospital,uk,40,268,744,357
115,Universitätsklinikum Carl Gustav Carus Dresden,de,429,482,494,102
116,Universitätsklinikum Münster,de,832,395,185,149
116,Cedars Sinai Medical Center,us,1570,63,441,529
118,Lifebridge Health,us,1656,8,1005,1815
119,Universitätsklinikum Ulm,de,916,372,113,175
120,Clalit Health Services,il,8,259,176,903
121,Kennedy Krieger Institute,us,864,264,556,182
122,Rhön-Klinikum AG,de,577,93,660,510
123,City of Hope Duarte - California,us,968,77,2176,292
124,Samsung Medical Center,kr,36,97,1221,798
125,Department Health & Human Services of Tasmania Royal Hobart Hospital,au,1052,339,164,180
126,Georgia Regents Health System,us,513,25,871,1289
127,Edward Hospital & Health Services,us,492,68,746,694
128,Universitair Medisch Centrum Utrecht,nl,1787,153,2003,121
129,Fox Chase Cancer Center,us,367,167,600,409
130,Istituto Oncologico Veneto,it,368,21,289,2394
130,University Hospitals of Cleveland Ohio,us,1030,110,809,383
132,HELIOS Kliniken Gruppe,de,139,53,81,2394
133,Vancouver Coastal Health,ca,1025,141,182,504
134,Aravind Eye Care System,in,544,55,1802,608
135,Memorial Hermann Northeast Hospital,us,509,147,609,440
136,National Cancer Center Hospital,jp,256,160,198,729
137,Froedtert Hospital and Medical College of Wisconsin,us,123,294,1346,241
138,Mckay Memorial Hospital,tw,122,305,174,510
139,Krankenhaus der Stadt Dornbirn,at,1,572,323,737
140,Sutter Health Hospitals,us,461,40,1589,898
141,Dartmouth Hitchcock Medical Center Lebanon NH,us,647,367,275,220
141,Childrens Hospital Los Angeles,us,359,194,924,366
143,St Louis Children's Hospital,us,260,323,773,241
144,London Health Sciences Centre,ca,1372,442,146,166
145,Grupo Médica Sur,mx,24,953,1666,72
146,BayHealth Medical Center,us,424,19,2103,1328
146,Cancer Institute & Hospital Chinese Academy of Medical Sciences,cn,538,116,750,589
148,Baker Heart Research Institute,au,146,896,725,74
149,William Beaumont Hospital,us,402,253,537,366
150,University of Iowa Hospitals and Clinics,us,369,568,795,116
151,Munson Healthcare (Mercy Hospital Cadillac),us,440,951,396,62
152,Universitätsklinikum Erlangen,de,479,516,163,230
153,Hôpitaux de Rouen,fr,13,101,347,2394
154,Nemours Healthcare for Children,us,947,204,586,371
155,Beppu National Rehabilitation Center for Persons with Severe Disabilities,jp,339,759,222,139
156,Universitätsklinikum Aachen Aör,de,1317,313,373,225
157,Baylor Health Care System,us,189,170,480,815
158,Karolinska Institute & University Hospital,se,2469,319,1330,89
159,National Jewish Medical and Research Center,us,1748,105,1657,335
160,NHS Fife,uk,94,622,109,344
161,Anhui Provincial Hospital,cn,478,257,422,429
161,Houston Methodist,us,1358,890,999,28
163,Gwinnett Medical Center Lawrenceville Georgia,us,572,41,1374,1157
164,Oslo University Hospital,no,1753,604,77,140
165,Emory Healthcare,us,2074,169,866,311
166,Baptist Health System San Antonio Texas,us,65,520,639,318
167,(1)  Nebraska Medical Center,us,410,175,1190,483
168,Rex Healthcare,us,74,228,424,915
169,Saarland University Hospital,de,970,592,121,187
169,Taichung Veterans General Hospital,tw,46,866,52,347
169,Hospital Universitario Virgen de las Nieves,es,1340,2073,102,13
172,BMI Health Care,uk,635,34,1440,1328
173,Texas Heart Institute at St Luke's Episcopal Hospital,us,3073,317,1739,79
174,University of Michigan Health System,us,206,61,5102,622
175,Aarhus University Hospital Aarhus Hospital,dk,1568,907,199,70
176,Puglia Sanità,it,183,1121,58,178
177,University Health Network,ca,1161,173,495,565
178,Jamtlands Lands Landsting,se,12,1204,29,403
179,Fraser Health,ca,732,396,158,371
180,Vancouver Island Health Authority,ca,2958,366,125,215
181,Nationwide Children's Hospital,us,638,82,2360,630
182,Edmond Medical Center,us,1410,359,149,339
183,Kyoto University Hospital,jp,570,596,69,321
184,Universitätsspital Basel,ch,1002,811,124,144
185,University of Kentucky Healthcare Good Samaritan Hospital Lexington,us,241,394,671,359
186,Beijing Maternity Hospital,cn,473,11,3107,2394
187,Koo Foundation Sun Yat Sen Cancer Center,tw,357,178,1374,580
188,Chung Ho Memorial Hospital Kaohsiung Medical University,tw,83,444,44,860
189,Centro Hospitalar de Lisboa Central (Hospital Dona Estefania),pt,472,4697,387,5
190,Azienda Ospedaliera San Giovanni Addolorata,it,1104,83,95,1934
191,Riyadh Military Hospital,sa,878,4380,669,4
192,Swiss Tropical Institute,ch,484,639,499,194
193,Long Island Jewish Medical Center,us,307,163,1483,701
194,Parc de Salut Mar,es,959,1079,110,120
195,Winnipeg Regional Health Authority,ca,1935,775,86,144
195,Fairview Health Services,us,415,230,934,598
197,Maine Medical Center,us,220,275,336,857
198,Guangzhou City Twelfth People's Hospital,cn,35,112,611,2394
199,Children’s Hospital Colorado,us,1081,198,1396,429
200,Centrum Zdrowia Dziecka,pl,321,1500,104,110
201,National Center of Neurology and Psychiatry,jp,2354,527,129,219
202,Sun Yat-sen University First Affiliated Hospital,cn,427,57,592,2394
203,University of California San Diego Medical Center,us,2212,132,1168,481
204,Jane & Terry Semel Institute for Neuroscience & Human Behavior at UCLA,us,128,368,662,583
205,Sharp Healthcare San Diego CA,us,2,244,1901,1934
206,Azienda Usl di Bologna,it,316,1107,56,228
207,Boston Medical Center,us,1738,250,583,427
208,Children's Hospital of Wisconsin,us,1281,311,1098,322
209,Palo Alto Medical Foundation,us,836,137,1833,626
210,Royal Marsden Hospital,uk,678,365,883,376
211,Cancer Treatment Centers of America,us,1261,78,2814,694
212,Academisch Medisch Centrum & Emma Kinderziekenhuis AMC Universiteit van Amsterdam,nl,657,168,2625,526
213,Metrohealth System,us,1094,466,414,353
214,Universitätsklinikum Medizinische Fakultat der Martin Luther Universitat Halle Wittenberg,de,629,584,457,322
214,Christiana Care Health System,us,52,427,1495,529
216,Queen Sirikit National Institute of Child Health,th,208,3936,364,12
217,National Institute of Tuberculosis and Pulmonology F G Janowski,ua,4604,4223,291,2
218,Auckland District Health Board,nz,1151,652,322,246
219,Virginia Mason Medical Center WA,us,395,242,837,843
220,Academy of Military Medical Sciences,cn,110,371,3832,309
221,Pediatricka Klinika 2 Lekarske Fakulty,cz,283,876,250,296
221,University of Washington Medicine,us,1580,86,535,1328
223,Children's Hospital at Westmead,au,2145,425,699,238
223,Seoul National University Hospital,kr,44,117,1107,2394
225,Hospital District of Helsinki and Uusimaa,fi,874,379,358,539
226,Centre Hospitalier Universitaire de Toulouse,fr,2001,594,206,258
226,Maxima Medisch Centrum Ziekenhuis in Eindhoven,nl,652,833,393,211
228,Centre Hospitalier Regional Universitaire de Lille,fr,5,832,648,583
229,Faculty Hospital Brno,cz,239,447,283,729
229,Hadassah Medical Organization,il,1743,580,306,258
229,Nuffield Health Hospitals,uk,394,216,828,972
232,Centre Hospitalier Universitaire Chu Chr de Montpellier,fr,1375,974,219,154
233,California Pacific Medical Center,us,133,232,1479,967
234,University of Pennsylvania Health System,us,532,131,1599,1085
234,Seton Healthcare Family,us,341,417,2134,327
236,Catholic Health Services Lauderdale Lakes FL,us,2377,16,1953,2394
236,Alberta Health & Wellness,ca,6524,312,449,224
238,Lurie Children's Hospital of Chicago (Children's Memorial Hospital),us,1162,502,1420,208
239,Complejo Hospitalario Universitario de Albacete,es,1090,1699,135,81
240,Azienda Unità Sanitaria Locale di Reggio Emilia,it,680,1302,43,212
240,Willis Knighton Health System,us,137,284,5051,362
242,Marshfield Clinic,us,1692,306,686,458
243,Montreal Neurological Institute and Hospital,ca,481,621,1124,261
244,Temple University Children's Medical Center,us,1824,331,2375,192
244,Resurrection Health Care,us,414,140,1420,1157
244,(1)  Anne Arundel Medical Center,us,1473,495,599,299
247,SoutheastHEALTH,us,2420,33,1316,1934
248,NorthShore University HealthSystem,us,728,380,1577,355
249,Contra Costa Regional Medical Center,us,2861,426,75,458
250,Russian Children's Hospital Moscow,ru,3241,1114,2898,14
251,(1)  Klinikum und Fachbereich Medizin der Johann Wolfgang Goethe-Universität Frankfurt am Main,de,38,459,551,1132
252,Hospital Sant Joan de Deu,es,1376,487,1074,271
253,St Elizabeth Medical Center & St Luke Hospitals Cincinnati,us,752,991,663,158
254,Hospital Vall d'Hebron,es,358,1073,547,189
255,St Luke's Idaho Health System,us,143,609,212,737
255,Instituto do Coração do Hospital das Clinicas,br,1288,1947,217,54
257,Greater Baltimore Medical Center,us,136,701,963,387
257,L’Istituto Nazionale Neurologico “Carlo Besta,it,1106,338,411,661
259,Royal Adelaide Hospital,au,53,1792,1,967
260,Mount Sinai Hospital Toronto,ca,1169,618,466,322
261,University Hospital of North Norway,no,907,1096,107,250
262,HealthPartners,us,1193,381,132,801
263,Legacy Health System Oregon,us,1832,404,971,338
264,Oroville Hospital,us,674,64,1346,2394
265,Laparoscopy Hospital,in,731,624,2161,181
266,Swedish Medical Center WA,us,400,225,2512,694
266,Shin Kong Wu Ho Su Memorial Hospital,tw,21,1113,46,846
268,Tianjin Medical University Hospital,cn,1268,88,1045,1815
269,Cambridge University Hospitals NHS Foundation Trust,uk,1699,582,195,394
270,North Bristol NHS,uk,233,897,607,319
271,Children's National Medical Center Washington D.C,us,420,180,2323,931
272,London Fertility Centre,uk,894,197,623,1289
273,Royal United Hospital NHS Trust,uk,2298,1313,167,113
273,Kaleida Health Facility,us,994,570,582,387
275,Chia-Yi Christian Hospital,tw,1304,635,562,298
276,Universitätsklinikum Würzburg,de,364,1857,259,124
277,Cheng Ching Hospital,tw,259,463,128,1157
278,Cook Children's Health Care,us,2976,497,535,280
278,Dokkyo Medical University Hospital,jp,941,453,148,801
280,Fakultní Nemocnice Plzen,cz,1476,914,366,191
281,Radboud Universitair Medisch Centrum,nl,1554,847,172,276
282,St Michael's Hospital,ca,216,332,1160,860
283,Saint Luke's Health System,us,817,336,1202,589
284,(1)  Roper St Francis Healthcare,us,564,258,1103,972
285,Helse Bergen Hf Haukeland Universitetssykehus,no,1286,768,426,280
286,St Olavs Hospital,no,1057,1048,67,340
287,Sihtasutus Tartu Ülikooli Kliinikum,ee,34,799,192,931
288,Mcgill University Health Centre,ca,488,500,956,518
288,Beijing Tong Ren Hospital Capital Medical University,cn,291,35,4715,2394
290,NHS Lothian,uk,2006,718,55,421
291,Bakoulev Center for Cardiovascular Surgery Russian Academy of Medical Sciences,ru,84,1249,864,276
291,Greenville Health System,us,1189,369,862,565
293,Guangdong Provincial People's Hospital,cn,288,145,743,2394
294,Assistance Publique Hôpitaux de Marseille,fr,919,723,312,417
294,Institute of Oncology Ljubljana,si,1802,2415,572,22
296,Roswell Park Cancer Institute (Western New York Neuro Oncology Center),us,1409,267,628,903
297,Taipei City Hospital,tw,11,804,147,1328
298,Baptist Health South Florida,us,1538,403,435,598
299,Singapore National University Hospital,sg,2283,835,313,209
300,Azienda Unità Sanitaria Locale di Modena,it,421,692,92,751
301,Perth and Smiths Falls District Hospital,ca,1264,43,2113,2394
302,Seattle Cancer Care Alliance WA,us,2361,211,906,801
303,Cathay General Hospital,tw,458,529,226,903
304,Centro Hospitalar do Porto (Hospital Geral de Santo Antonio),pt,675,5472,513,6
305,Heping Hospital of Changzhi Medical College,cn,1207,26,3985,2394
306,Capital Health Nova Scotia Canada,ca,1864,721,193,366
306,Winchester Hospital,us,76,1656,5164,45
308,Zhongshan Hospital Fudan University,cn,814,414,452,839
309,Universitatsklinikum Schleswig-Holstein,de,587,670,282,589
310,Texas Children's Hospital,us,1385,271,1090,795
310,New York Eye and Ear Infirmary,us,1309,489,460,557
312,Akademiska Sjukhuset Uppsala University Hospital,se,794,938,716,254
313,St John Health System Warren Michigan,us,51,541,365,1739
314,Armed Police General Hospital,cn,300,42,4798,2394
314,Fort Suranaree Hospital,th,217,158,1080,2394
316,Fort Healthcare,us,1760,89,1767,1328
316,Penn State Milton S Hershey Medical Center,us,223,279,9261,216
318,(1)  Central Manchester University Hospitals NHS Foundation Trust,uk,1077,706,247,492
319,Arcispedale S Maria Nuova Azienda Ospedaliera di Reggio Emilia V,it,1635,1977,51,118
320,Arthur G James Cancer Hospital and Richard J Solove Research Institute,us,1011,431,1142,518
321,UnityPoint Health,us,809,397,314,972
322,Hvidovre Hospital,dk,824,1354,509,174
323,Rady Children's Hospital San Diego,us,1190,715,1011,286
324,Phoebe Putney Memorial Hospital (Dorminy Medical Center),us,634,75,1968,2394
325,Asan Medical Center Seoul,kr,335,128,2090,1934
326,Universitätsklinikum Leipzig Aör,de,1098,530,214,753
327,C.H.U Hôpitaux de Bordeaux,fr,1464,917,3748,75
328,Masaryk Memorial Cancer Institute/Masarykův Onkologický Ústav,cz,1345,1099,1023,156
329,Coxhealth,us,207,579,722,815
330,Piedmont Healthcare,us,614,142,840,2394
331,Provena Health,us,204,513,241,1328
332,Fudan University Cancer Hospital Shanghai,cn,253,674,1593,443
333,Tongji Hospital Tongji Medical College of Huazhong University of Science and Technology,cn,1089,277,3107,565
334,Vojnomedicinska Akademija Beograd University Hospital,rs,1796,3752,692,10
334,Norton Health Care,us,927,411,310,1085
336,(1)  Hamilton Health Sciences,ca,687,921,160,510
337,Mental Health Center of Shantou University,cn,1702,13,6677,2394
338,Affiliated to Suzhou University Children's Hospital,cn,175,32,7560,2394
339,Children's Medical Center of Dayton,us,989,898,1170,232
340,Shanghai Charity Hospital,cn,49,17,10913,2394
341,Hoag Hospital,us,1873,933,1171,169
342,Children's Hospitals & Clinics of Minnesota,us,1218,384,337,1085
343,Bma Medical College and Vajira Hospital,th,338,1334,425,322
344,Odense Universitetshospital Svendborg Sygehus,dk,1399,817,1332,223
345,Promedica Health System,us,209,693,1140,598
346,University of Colorado Health in Northern Colorado,us,645,1293,922,193
347,Hospital de Cruces,es,559,2079,213,170
347,Merseycare NHS,uk,4512,1840,368,44
349,Hospital de Clinicas de Porto Alegre,br,193,1992,948,147
350,(1)  Hospital de la Santa Creu i Sant Pau,es,48,3176,655,114
351,Phyathai Hospital Phya Thai's One Stop Center,th,482,201,705,2394
352,Centura Health,us,31,176,3647,2394
353,Kuang Tien General Hospital,tw,14,2532,292,343
354,Sentara Healthcare,us,1363,356,431,1085
354,Ewha Women Medical Medical Center,kr,91,123,5325,1934
356,Spectrum Health,us,347,422,454,1739
357,NHS Wirral Health Service,uk,195,2821,194,157
358,Ontario Community Care Access Centres,ca,2827,418,304,701
359,Broward Health,us,87,569,574,1328
360,Saint Joseph Mercy Health System,us,847,374,1166,860
360,Yale New Haven Hospital,us,1115,149,787,2394
362,St.Vincent Dunn Memorial Hospital,us,1236,341,1029,860
363,Kantonsspital Aarau,ch,2084,791,654,307
364,Adventist Midwest Health,us,168,902,1872,376
364,Hallym University Medical Center,kr,37,574,741,1815
366,Wenzhou Medical College First Affiliated Hospital,cn,166,517,702,1289
367,Catholic Healthcare West,us,379,290,1585,1328
368,Community Health Network Indianapolis,us,398,346,621,1815
369,Lee Memorial Health System,us,377,554,525,1085
370,Azienda Ospedaliera San Camillo Forlanini,it,2610,2065,125,105
371,Peking University Dental Hospital,cn,3447,789,1254,175
372,Florida Hospital Florida Campus,us,566,222,1258,1934
372,Grupo Fraternidad Muprespa,es,553,2053,406,167
374,Klinicke Centrum Iscare I.V.F.,cz,356,73,6113,1934
375,University Hospital Southampton NHS,uk,213,774,348,931
376,Wellstar Health System,us,1515,445,1525,549
377,Jewish General Hospital Hopital General Juif,ca,1701,930,210,427
378,Clínica las Condes,cl,1913,2329,541,60
379,Oakwood Healthcare System,us,843,478,386,1157
380,Clínica Universitaria de Navarra,es,436,571,2143,549
381,Azienda Ospedaliera Mellino Mellini,it,4211,360,317,737
381,National Cancer Institute Center for Cancer Research,us,2762,644,1265,293
383,Integris Health,us,90,879,791,815
384,General Hospital of The Air Force P.L.A.,cn,609,38,6619,2394
385,Tianjin Medical University General Hospital,cn,1065,302,983,1328
386,Hospital San José Tec de Monterrey,mx,5959,1969,1573,17
387,Groupe UNICANCER,fr,214,1211,1190,383
388,Loma Linda University Adventist Health Sciences Center,us,311,602,890,931
389,Mission Health,us,452,448,610,1739
390,Crouse Hospital Syracuse,us,560,1090,1098,354
391,Chi Mei Medical Center,tw,1263,1303,38,513
391,OhioHealth,us,1646,237,1205,1328
393,South London and Maudsley NHS Foundation Trust.,uk,2318,757,1057,326
394,Orlando Health,us,953,300,900,1815
395,Taipei Medical University Shuang Ho Hospital,tw,460,327,1424,1328
395,Baskent Universitesi Adana Hastanesi,tr,1026,387,1676,846
397,Grupo Hospitalario Quirón,es,910,408,1194,972
398,University of California San Francisco Medical Center CA,us,1871,60,3229,2394
398,Wellspan Health,us,1266,761,1267,390
400,Queen Elizabeth Hospital King's Lynn NHS Trust,uk,4006,56,1806,2394
401,Japan Hospital Association,jp,5524,1388,235,141
402,Hunterdon Healthcare,us,1893,108,1410,2394
402,Hospital Clínico de la Universidad de Chile,cl,5066,2263,970,27
402,Lifespan Health System,us,363,308,2976,1145
405,University Health System Hospital San Antonio,us,737,1052,343,529
405,Xiangya Hospital Central South University,cn,986,215,770,2394
405,Hospital Corporation of America,us,6043,256,642,846
408,(1)  Luzerner Kantonsspital,ch,406,1396,579,371
408,MediClin AG,de,1227,296,503,1934
410,Sarasota Memorial Hospital,us,1835,521,586,795
411,Bascom Palmer Eye Institute,us,3962,1171,2772,69
412,Azienda Ospedaliera Ospedale Niguarda Ca'Granda,it,1704,1092,98,507
413,University of Missouri Health Care,us,1572,165,938,2394
414,Unity Health System,us,464,550,444,1328
415,Nottingham University Hospitals NHS Trust,uk,1781,736,461,565
416,Novant Health,us,506,272,1505,1934
417,University of Florida Health,us,362,740,1313,661
417,Bispebjerg Hospital,dk,939,966,673,458
419,CHRISTUS Santa Rosa Health Care,us,1381,151,1250,2394
420,Sct Hans Hospital Psykiatrisk Center Sct Hans,dk,1455,1237,274,379
420,NCH Healthcare System Naples Hospital,us,1045,113,2412,2394
422,Mainehealth,us,431,519,436,1815
422,E Da Hospital / I Shou University,tw,246,2579,154,266
424,"National Center for Child Health and Development National Children's Medical Center
Research Institute",jp,855,838,171,915
425,Corporacio Parc Taulí,es,254,2562,256,236
425,Tenet Healthsystem Medical,us,597,391,2654,860
427,Northern Health,ca,3245,864,401,366
428,Health First Care Florida,us,2306,161,726,2394
428,Akron Children's Hospital,us,556,515,1979,815
430,Tata Memorial Centre,in,598,1529,500,344
430,NHS Grampian,uk,1914,941,71,661
432,Virginia Commonwealth University Health System,us,574,689,1440,661
432,Huashan Hospital Fudan,cn,278,136,3925,2394
434,Geisinger Medical System,us,1478,401,1644,801
435,Gachon University Gil Medical Center,kr,89,1141,1405,587
435,Royal Cornwall Hospitals Trust,uk,190,2178,277,344
437,Median Kliniken,de,1487,925,1640,290
438,Detroit Medical Center MI,us,276,504,529,1934
438,Ospedale Maggiore di Milano,it,4145,1614,137,179
440,Montefiore Medical Center,us,390,298,980,2394
441,First Affiliated Hospital of Medical College Qingdao University,cn,470,120,4041,2394
442,Azienda Unità Sanitaria Locale di Cesena,it,811,2428,183,202
442,Johns Hopkins Children's Center,us,2195,399,1234,801
444,Kettering Health Network,us,2698,143,879,2394
445,Guangzhou Soogood Medical Cosmetology Hospital,cn,202,24,10913,2394
446,Hospital de Câncer de Barretos Fundaçao Pio XII,br,537,963,2505,349
446,Südtiroler Sanitätsbetrieb Azienda Sanitaria dell'Alto Adige,it,1324,3809,1121,31
446,St John of God Health Care,au,98,1148,597,860
449,Soutwest Finland Hospitals,fi,922,1153,417,529
449,Leicester's Hospitals,uk,957,2111,446,190
451,St Joseph's Baptist Healthcare,us,977,282,1285,1934
452,South Carolina Hospital Association,us,1947,899,598,444
453,Institute of Medical Science University of Tokyo,jp,1810,553,492,931
454,Wiener Krankenanstaltenverbund,at,350,352,1893,1815
455,Trinity Health Novi Michigan,us,3067,212,812,1934
455,Dartmouth-Hitchcock Norris Cotton Cancer Center,us,1215,405,2496,801
457,Duke University Health System,us,949,469,1783,920
458,Robert Wood Johnson University Hospital New Brunswick New Jersey,us,265,235,2630,2394
459,Azienda Unità Locale Socio Sanitaria 9 di Treviso,it,938,1436,205,513
460,Palmetto Health,us,370,675,493,1739
461,Arkansas Children's Hospital Heart Center,us,1892,611,761,737
462,Children's Hospital of Pittsburgh,us,1714,192,1983,1934
463,Bay Care,us,818,200,1997,2394
463,Cumbria Partnership NHS Foundation Trust,uk,3330,2484,707,64
463,Greenwich Hospital Connecticut,us,1130,752,1341,589
466,Villa Scassi di Geneva Azienda Ospedaliera,it,1228,2567,62,251
467,National Cheng Kung University Hospital,tw,105,1305,70,1739
468,National Institutes of Health Clinical Center in Bethesda Maryland,us,2416,315,845,1739
468,National Cardiovascular Center,jp,2788,591,390,846
470,Covenant Health Knoxville TN,us,374,464,1670,1328
471,Papworth Hospital NHS Foundation Trust,uk,668,245,1679,2394
472,Nederlands Kanker Instituut Antoni Van Leeuwenhoek Ziekenhuis,nl,2654,434,1366,749
472,Azienda Sanitaria Locale di Viterbo,it,1413,1746,27,508
474,Universitätsklinikum Gießen und Marburg,de,1521,566,645,1085
475,St David's Health Care,us,1469,552,4915,356
475,Qinghai Red Cross Hospital,cn,671,50,8217,2394
475,Healtheast Care System,us,147,793,1322,1085
478,Riverside Health System,us,649,449,1414,1328
478,Center of Neurology Moscow,ru,5175,1891,1128,66
480,Bumrungrad Internacional Hospital,th,1397,349,2887,860
481,Tri Service General Hospital,tw,1252,1067,232,724
482,Scottsdale Healthcare,us,683,650,1209,920
